,noun_id,label,pred
0,rikitake__466,rikitake,rikitake
1,rossler__142,rossler,rossler
2,lorenz__364,lorenz,lorenz
3,rossler__473,rossler,rossler
4,rikitake__192,rikitake,rikitake
5,rikitake__304,rikitake,rikitake
6,rossler__328,rossler,rossler
7,lorenz__121,lorenz,lorenz
8,rossler__270,rossler,rossler
9,rossler__276,rossler,rossler
10,rikitake__198,rikitake,rikitake
11,chua__58,chua,chua
12,duffing__465,duffing,duffing
13,rossler__137,rossler,rossler
14,rossler__417,rossler,rossler
15,duffing__48,duffing,duffing
16,rikitake__117,rikitake,rikitake
17,chua__205,chua,chua
18,duffing__182,duffing,duffing
19,rikitake__343,rikitake,rikitake
20,chua__130,chua,chua
21,chua__72,chua,chua
22,rikitake__246,rikitake,rikitake
23,chua__87,chua,chua
24,chua__326,chua,chua
25,duffing__454,duffing,duffing
26,duffing__178,duffing,duffing
27,chua__404,chua,chua
28,rikitake__2,rikitake,rikitake
29,lorenz__370,lorenz,lorenz
30,rossler__470,rossler,rossler
31,rossler__297,rossler,rossler
32,duffing__265,duffing,duffing
33,rossler__71,rossler,rossler
34,duffing__375,duffing,duffing
35,chua__257,chua,chua
36,rossler__249,rossler,rossler
37,rossler__244,rossler,rossler
38,rossler__205,rossler,rossler
39,duffing__379,duffing,duffing
40,duffing__62,duffing,duffing
41,rossler__228,rossler,rossler
42,chua__143,chua,chua
43,duffing__192,duffing,duffing
44,rikitake__97,rikitake,rikitake
45,chua__225,chua,chua
46,chua__430,chua,chua
47,lorenz__459,lorenz,lorenz
48,rikitake__50,rikitake,rossler
49,lorenz__455,lorenz,lorenz
50,lorenz__268,lorenz,lorenz
51,rossler__388,rossler,rossler
52,lorenz__44,lorenz,lorenz
53,chua__166,chua,chua
54,duffing__110,duffing,duffing
55,rikitake__226,rikitake,rikitake
56,duffing__450,duffing,duffing
57,lorenz__81,lorenz,lorenz
58,chua__303,chua,chua
59,rikitake__405,rikitake,rikitake
60,duffing__206,duffing,duffing
61,rossler__493,rossler,rossler
62,rossler__203,rossler,rossler
63,lorenz__358,lorenz,lorenz
64,lorenz__208,lorenz,lorenz
65,rikitake__380,rikitake,rikitake
66,chua__336,chua,chua
67,lorenz__350,lorenz,lorenz
68,lorenz__51,lorenz,lorenz
69,rossler__241,rossler,rossler
70,rossler__18,rossler,rossler
71,rossler__491,rossler,rossler
72,lorenz__383,lorenz,lorenz
73,rikitake__374,rikitake,rikitake
74,rossler__217,rossler,rossler
75,rikitake__368,rikitake,rikitake
76,rikitake__128,rikitake,rikitake
77,duffing__308,duffing,duffing
78,duffing__148,duffing,duffing
79,rikitake__249,rikitake,rikitake
80,lorenz__380,lorenz,lorenz
81,rossler__186,rossler,rossler
82,duffing__88,duffing,duffing
83,chua__387,chua,chua
84,chua__219,chua,chua
85,lorenz__58,lorenz,lorenz
86,lorenz__8,lorenz,lorenz
87,chua__270,chua,chua
88,duffing__403,duffing,duffing
89,chua__495,chua,chua
90,chua__93,chua,chua
91,duffing__361,duffing,duffing
92,duffing__128,duffing,duffing
93,rikitake__57,rikitake,rikitake
94,rikitake__93,rikitake,rikitake
95,lorenz__155,lorenz,lorenz
96,lorenz__357,lorenz,lorenz
97,duffing__490,duffing,duffing
98,rikitake__213,rikitake,rikitake
99,duffing__149,duffing,duffing
100,rossler__412,rossler,rossler
101,rikitake__207,rikitake,rikitake
102,rikitake__362,rikitake,rikitake
103,lorenz__202,lorenz,lorenz
104,rikitake__199,rikitake,rikitake
105,duffing__83,duffing,duffing
106,duffing__137,duffing,duffing
107,duffing__288,duffing,duffing
108,rossler__3,rossler,rossler
109,lorenz__402,lorenz,lorenz
110,chua__283,chua,chua
111,rossler__221,rossler,rossler
112,lorenz__154,lorenz,lorenz
113,rikitake__355,rikitake,rikitake
114,lorenz__400,lorenz,lorenz
115,duffing__331,duffing,duffing
116,rossler__308,rossler,rossler
117,rikitake__111,rikitake,rikitake
118,duffing__342,duffing,duffing
119,lorenz__365,lorenz,lorenz
120,rikitake__488,rikitake,rikitake
121,chua__173,chua,chua
122,rikitake__331,rikitake,rikitake
123,duffing__101,duffing,duffing
124,rikitake__40,rikitake,rikitake
125,lorenz__499,lorenz,lorenz
126,chua__183,chua,chua
127,rossler__34,rossler,rossler
128,rikitake__265,rikitake,rikitake
129,rikitake__160,rikitake,rikitake
130,lorenz__201,lorenz,lorenz
131,duffing__69,duffing,duffing
132,duffing__285,duffing,duffing
133,rossler__11,rossler,rossler
134,rossler__176,rossler,rossler
135,rossler__52,rossler,rossler
136,lorenz__450,lorenz,lorenz
137,lorenz__240,lorenz,lorenz
138,chua__96,chua,chua
139,rikitake__122,rikitake,rikitake
140,rikitake__439,rikitake,rikitake
141,rossler__177,rossler,rossler
142,lorenz__328,lorenz,lorenz
143,chua__418,chua,chua
144,rossler__393,rossler,rossler
145,rikitake__242,rikitake,rikitake
146,rikitake__71,rikitake,rikitake
147,chua__477,chua,chua
148,rossler__153,rossler,rossler
149,duffing__77,duffing,duffing
150,rossler__178,rossler,rossler
151,chua__304,chua,chua
152,rikitake__346,rikitake,rikitake
153,rossler__115,rossler,rossler
154,duffing__35,duffing,duffing
155,chua__367,chua,chua
156,lorenz__2,lorenz,lorenz
157,rossler__263,rossler,rossler
158,chua__275,chua,chua
159,chua__29,chua,chua
160,chua__465,chua,chua
161,lorenz__361,lorenz,lorenz
162,lorenz__280,lorenz,lorenz
163,rikitake__243,rikitake,rikitake
164,rikitake__258,rikitake,rikitake
165,lorenz__142,lorenz,lorenz
166,rossler__451,rossler,rossler
167,chua__224,chua,chua
168,duffing__208,duffing,duffing
169,duffing__455,duffing,duffing
170,rikitake__393,rikitake,rikitake
171,chua__206,chua,chua
172,rossler__196,rossler,rossler
173,rossler__148,rossler,rossler
174,duffing__215,duffing,duffing
175,chua__98,chua,chua
176,chua__12,chua,chua
177,rossler__8,rossler,rossler
178,rossler__80,rossler,rossler
179,duffing__257,duffing,duffing
180,chua__355,chua,chua
181,lorenz__295,lorenz,lorenz
182,rossler__482,rossler,rossler
183,chua__136,chua,chua
184,lorenz__480,lorenz,lorenz
185,duffing__250,duffing,duffing
186,rossler__337,rossler,rossler
187,chua__120,chua,chua
188,duffing__21,duffing,duffing
189,rossler__163,rossler,rossler
190,lorenz__264,lorenz,lorenz
191,chua__103,chua,chua
192,duffing__487,duffing,duffing
193,rossler__212,rossler,rossler
194,duffing__427,duffing,duffing
195,rossler__418,rossler,rossler
196,chua__145,chua,chua
197,lorenz__110,lorenz,lorenz
198,duffing__420,duffing,duffing
