,noun_id,label,pred
0,rossler__115,rossler,rossler
1,duffing__35,duffing,duffing
2,chua__367,chua,chua
3,lorenz__2,lorenz,lorenz
4,rossler__263,rossler,rossler
5,chua__275,chua,chua
6,chua__29,chua,chua
7,chua__465,chua,chua
8,lorenz__361,lorenz,lorenz
9,lorenz__280,lorenz,lorenz
10,rikitake__243,rikitake,rikitake
11,rikitake__258,rikitake,rikitake
12,lorenz__142,lorenz,lorenz
13,rossler__451,rossler,rossler
14,chua__224,chua,chua
15,duffing__208,duffing,duffing
16,duffing__455,duffing,duffing
17,rikitake__393,rikitake,rikitake
18,chua__206,chua,chua
19,rossler__196,rossler,rossler
20,rossler__148,rossler,rossler
21,duffing__215,duffing,duffing
22,chua__98,chua,chua
23,chua__12,chua,chua
24,rossler__8,rossler,rossler
25,rossler__80,rossler,rossler
26,duffing__257,duffing,duffing
27,chua__355,chua,chua
28,lorenz__295,lorenz,lorenz
29,rossler__482,rossler,rossler
30,chua__136,chua,chua
31,lorenz__480,lorenz,lorenz
32,duffing__250,duffing,duffing
33,rossler__337,rossler,rossler
34,chua__120,chua,chua
35,duffing__21,duffing,duffing
36,rossler__163,rossler,rossler
37,lorenz__264,lorenz,lorenz
38,chua__103,chua,chua
39,duffing__487,duffing,duffing
40,rossler__212,rossler,rossler
41,duffing__427,duffing,duffing
42,rossler__418,rossler,rossler
43,chua__145,chua,chua
44,lorenz__110,lorenz,lorenz
45,duffing__420,duffing,duffing
46,rikitake__200,rikitake,rikitake
47,duffing__44,duffing,duffing
48,lorenz__360,lorenz,lorenz
49,lorenz__386,lorenz,lorenz
50,chua__149,chua,chua
51,duffing__29,duffing,duffing
52,duffing__477,duffing,duffing
53,duffing__416,duffing,duffing
54,rikitake__10,rikitake,rikitake
55,lorenz__14,lorenz,lorenz
56,chua__479,chua,chua
57,duffing__10,duffing,duffing
58,rikitake__237,rikitake,rikitake
59,rossler__2,rossler,rossler
60,rikitake__455,rikitake,rikitake
61,duffing__32,duffing,duffing
62,chua__309,chua,chua
63,duffing__365,duffing,duffing
64,chua__85,chua,chua
65,duffing__163,duffing,duffing
66,duffing__258,duffing,duffing
67,lorenz__89,lorenz,lorenz
68,chua__457,chua,chua
69,rikitake__161,rikitake,rikitake
70,duffing__129,duffing,duffing
71,chua__113,chua,chua
72,chua__401,chua,chua
73,chua__73,chua,chua
74,rikitake__24,rikitake,rikitake
75,rikitake__492,rikitake,rikitake
76,rossler__66,rossler,rossler
77,rikitake__382,rikitake,rikitake
78,lorenz__187,lorenz,lorenz
79,duffing__123,duffing,duffing
80,rossler__164,rossler,rossler
81,lorenz__255,lorenz,lorenz
82,rossler__149,rossler,rossler
83,rikitake__147,rikitake,rikitake
84,rikitake__349,rikitake,rikitake
85,chua__361,chua,chua
86,chua__300,chua,chua
87,chua__189,chua,chua
88,rikitake__233,rikitake,rikitake
89,duffing__422,duffing,duffing
90,chua__384,chua,chua
91,duffing__470,duffing,duffing
92,rossler__232,rossler,rossler
93,chua__199,chua,chua
94,rossler__33,rossler,rossler
95,duffing__411,duffing,duffing
96,duffing__36,duffing,duffing
97,chua__333,chua,chua
98,rossler__257,rossler,rossler
99,chua__322,chua,chua
100,lorenz__341,lorenz,lorenz
101,lorenz__133,lorenz,lorenz
102,chua__10,chua,chua
103,duffing__89,duffing,duffing
104,rikitake__282,rikitake,rikitake
105,lorenz__472,lorenz,lorenz
106,chua__323,chua,chua
107,rossler__358,rossler,rossler
108,chua__258,chua,chua
109,chua__97,chua,chua
110,duffing__335,duffing,duffing
111,rossler__165,rossler,rossler
112,duffing__3,duffing,duffing
113,rossler__476,rossler,rossler
114,rossler__398,rossler,rossler
115,duffing__440,duffing,duffing
116,duffing__30,duffing,duffing
117,rikitake__19,rikitake,rikitake
118,rikitake__218,rikitake,rikitake
119,chua__101,chua,chua
120,lorenz__29,lorenz,lorenz
121,lorenz__79,lorenz,lorenz
122,rossler__484,rossler,rossler
123,rikitake__188,rikitake,rikitake
124,duffing__72,duffing,duffing
125,duffing__15,duffing,duffing
126,chua__62,chua,chua
127,rikitake__251,rikitake,rikitake
128,rossler__20,rossler,rossler
129,rossler__379,rossler,rossler
130,chua__214,chua,chua
131,lorenz__434,lorenz,lorenz
132,lorenz__442,lorenz,lorenz
133,rossler__422,rossler,rossler
134,duffing__312,duffing,duffing
135,lorenz__311,lorenz,lorenz
136,chua__52,chua,chua
137,duffing__189,duffing,duffing
138,duffing__220,duffing,duffing
139,duffing__174,duffing,duffing
140,lorenz__481,lorenz,lorenz
141,lorenz__492,lorenz,lorenz
142,rossler__254,rossler,rossler
143,lorenz__452,lorenz,lorenz
144,duffing__28,duffing,duffing
