,noun_id,label,pred
0,duffing__98,duffing,duffing
1,lorenz__202,lorenz,lorenz
2,chua__290,chua,chua
3,rikitake__168,rikitake,rikitake
4,duffing__32,duffing,duffing
5,rikitake__299,rikitake,rikitake
6,lorenz__423,lorenz,lorenz
7,lorenz__184,lorenz,lorenz
8,chua__324,chua,chua
9,duffing__412,duffing,duffing
10,lorenz__431,lorenz,lorenz
11,lorenz__476,lorenz,lorenz
12,duffing__493,duffing,duffing
13,rossler__403,rossler,rossler
14,lorenz__427,lorenz,lorenz
15,lorenz__81,lorenz,lorenz
16,rikitake__52,rikitake,rikitake
17,duffing__236,duffing,duffing
18,rossler__232,rossler,rossler
19,chua__210,chua,chua
20,rossler__230,rossler,rossler
21,rikitake__486,rikitake,rikitake
22,chua__93,chua,chua
23,rossler__352,rossler,rossler
24,chua__119,chua,chua
25,chua__51,chua,chua
26,chua__288,chua,chua
27,duffing__454,duffing,duffing
28,rikitake__4,rikitake,rikitake
29,duffing__227,duffing,duffing
30,lorenz__18,lorenz,lorenz
31,duffing__142,duffing,duffing
32,rikitake__257,rikitake,rikitake
33,duffing__423,duffing,duffing
34,rikitake__480,rikitake,rikitake
35,lorenz__418,lorenz,rikitake
36,rikitake__66,rikitake,rikitake
37,chua__311,chua,chua
38,rossler__150,rossler,rossler
39,duffing__127,duffing,duffing
40,rossler__285,rossler,rossler
41,chua__217,chua,chua
42,duffing__355,duffing,duffing
43,lorenz__230,lorenz,lorenz
44,rossler__339,rossler,rossler
45,rikitake__243,rikitake,rikitake
46,rikitake__150,rikitake,rikitake
47,duffing__161,duffing,duffing
48,lorenz__286,lorenz,lorenz
49,duffing__450,duffing,duffing
50,lorenz__265,lorenz,lorenz
51,duffing__133,duffing,duffing
52,chua__461,chua,chua
53,lorenz__443,lorenz,rikitake
54,duffing__431,duffing,duffing
55,chua__360,chua,chua
56,duffing__68,duffing,duffing
57,rikitake__40,rikitake,rikitake
58,duffing__81,duffing,duffing
59,lorenz__430,lorenz,lorenz
60,chua__219,chua,chua
61,duffing__152,duffing,duffing
62,rikitake__69,rikitake,rikitake
63,duffing__149,duffing,duffing
64,chua__7,chua,chua
65,rossler__9,rossler,rossler
66,rikitake__188,rikitake,rikitake
67,rossler__279,rossler,rossler
68,duffing__478,duffing,duffing
69,duffing__23,duffing,duffing
70,lorenz__392,lorenz,rikitake
71,chua__495,chua,chua
72,lorenz__356,lorenz,lorenz
73,rossler__495,rossler,rossler
74,rikitake__261,rikitake,rikitake
75,rossler__132,rossler,rossler
76,duffing__211,duffing,duffing
77,lorenz__164,lorenz,lorenz
78,lorenz__344,lorenz,rikitake
79,duffing__63,duffing,duffing
80,rossler__170,rossler,rossler
81,lorenz__106,lorenz,lorenz
82,duffing__339,duffing,duffing
83,duffing__346,duffing,duffing
84,rikitake__291,rikitake,rikitake
85,duffing__209,duffing,duffing
86,chua__487,chua,chua
87,rossler__191,rossler,rossler
88,chua__375,chua,chua
89,rossler__488,rossler,rossler
90,lorenz__149,lorenz,lorenz
91,chua__151,chua,chua
92,rossler__281,rossler,rossler
93,rikitake__301,rikitake,rikitake
94,duffing__344,duffing,duffing
95,lorenz__447,lorenz,lorenz
96,chua__126,chua,chua
97,rikitake__295,rikitake,rikitake
98,rossler__317,rossler,rossler
99,rikitake__271,rikitake,rikitake
100,lorenz__432,lorenz,lorenz
101,duffing__460,duffing,duffing
102,rikitake__372,rikitake,rikitake
103,rossler__335,rossler,rossler
104,rossler__78,rossler,rossler
105,rossler__239,rossler,rossler
106,rossler__219,rossler,rossler
107,rikitake__111,rikitake,rikitake
108,rossler__451,rossler,rossler
109,lorenz__343,lorenz,rossler
110,chua__45,chua,chua
111,rikitake__42,rikitake,rikitake
112,lorenz__94,lorenz,lorenz
113,lorenz__187,lorenz,lorenz
114,rikitake__252,rikitake,rikitake
115,rikitake__249,rikitake,rikitake
116,rossler__492,rossler,rossler
117,rossler__134,rossler,rossler
118,chua__430,chua,chua
119,lorenz__350,lorenz,lorenz
120,chua__340,chua,chua
121,rossler__343,rossler,rossler
122,duffing__256,duffing,duffing
123,duffing__165,duffing,duffing
124,duffing__274,duffing,duffing
125,rikitake__466,rikitake,rikitake
126,lorenz__253,lorenz,lorenz
127,lorenz__471,lorenz,lorenz
